word,example
"스트립 채권","스트립 채권에 대한 수요가 예상보다 많았다."
"스트링","허리에 스트링을 넣은 바지가 편안하다."
"스트링어","당산철교의 스트링어를 전면 교체하지 않기로 결정됐다."
"스티밍","신제품은 커피 추출과 우유 스티밍을 동시에 할 수 있다."
"스티프너","복공판을 지지하는 에이치(H)빔에는 스티프너 작업이 이뤄져 있다."
"스틱","산행할 때 필요한 등산 스틱은 꼼꼼히 선택해야 한다."
"스틱형","어린이용 가루약을 스틱형 포장지에 담아 휴대와 섭취가 간편하다."
"스틸 컷","곧 개봉될 영화의 스틸 컷이 공개되었다."
"스팀","고온의 강력한 스팀으로 섬유 속 불쾌한 냄새와 세균들을 제거한다."
"스팀 타월","스팀 타월로 얼굴의 노폐물과 피지를 제거해 준다."
"스파우트","스파우트 형태 파우치 포장의 수요가 증가 추세를 보인다."
"스파크","가스가 누출 됐을 때 선풍기 등 전기 기구에 스파크가 생겨 폭발할 수 있다."
"스파클링","청량감 넘치는 스파클링 음료가 인기다."
"스팽글","햇살에 반짝거리는 스팽글이 눈길을 끈다."
"스퍼트","수능 100일 전, 스퍼트가 필요하다."
"스페셜","명품 배우 4인방에게는 스페셜한 무언가가 있다."
"스페셜 위크","겨울 스페셜 위크 특집 행사를 연다."
"스페셜 이펙트","동화책 속 바다를 그대로 옮겨놓은 듯한 무대와 스페셜 이펙트가 눈길을 끈다."
"스페셜리스트","학생들을 반도체 분야의 스페셜리스트로 성장시킨다."
"스페셜티 스토어","신제품은 전 세계 단독 매장과 지정 백화점, 스페셜티 스토어에서 판매한다."
"스페이서","기초 공사에서는 스페이서가 설치된다."
"스페이스","중증 장애인을 위한 돌봄 스페이스를 연다."
"스페이스 텔링","스페이스 텔링 마케팅이 뜨고 있다."
"스펙","학생들은 졸업을 미루면서까지 스펙을 쌓으려고 노력한다."
"스펙트럼","기존 관념을 깨니 스펙트럼이 다양해졌다."
"스포일러","방송가가 스포일러와의 전쟁을 시작했다."
"스포츠 클라이밍","스포츠 클라이밍은 더 이상 젊은이의 전유물이 아니다."
"스포트라이트","역사의 스포트라이트를 받지 못한 3·1운동의 숨은 주인공들을 소개한다."
"스포티","스포티한 외관과 최고의 안전성능을 갖췄다."
"스포티즘","운동복인듯, 일상복인듯 여성복에 스포티즘 바람이 분다."
"스폰서","코로나로 광고나 스폰서, 또는 중계권료 협상이 제대로 이뤄지지 못했다."
"스폿","휴가철을 맞아 스폿 이동식 음주 단속을 실시하기로 했다."
"스폿 광고","숨은 영웅의 무공훈장을 찾기 위한 버스·지하철 스폿 광고를 진행했다."
"스폿 기획","다양한 상품을 구성하기 위해 스폿 기획도 늘렸다."
"스폿 뉴스","농업기술원에서 대설에 대비해 스폿 뉴스를 제공한다."
"스폿 아이템","계절 변화에 대응할 수 있는 실용적인 스폿 아이템을 발빠르게 구성한다."
"스프레드","철근 가격이 상승하면서 스프레드가 확대됐다."
"스프레드 거래","스프레드 거래의 기본 개념은 차익 거래와 유사하다."
"스프린트 게임","대학 입시는 스프린트 게임이 아니라 마라톤과 같다."
"스프링 캠프","계약 금액이 크다 보니 스프링 캠프부터 대형 신인에게 관심이 쏠렸다."
"스프링클러","스프링클러 설치 대상 건축물은 전문가 종합 정밀 점검을 의무화한다."
"스피드","기동성과 스피드가 부족해 공·수 양면에서 어려움을 겪었다."
"스피드 업","투수는 스피드 업을 위해 주자가 없을 때 20초 안에 다음 투구를 펼쳐야 한다."
"스피드 팩토어","스피드 팩토어 매장에서 맞춤형 옷을 주문하면 24시간 안에 생산한다."
"스피어 피싱","국내 기업을 겨냥한 우체국 사칭 스피어 피싱이 등장했다."
"스피치","시의회가 의원들의 스피치 능력 향상을 위한 교육을 실시했다."
"스핀오프","몇 해 전부터 국내 대기업들은 스핀오프 제도를 도입하고 있다."
"슬라이딩 공법","국내 토목공사 현장에서 슬라이딩 공법을 사용하는 경우가 있다."
"슬래브","신고리 5·6호기에 벽체·슬래브를 추가해 화재에 대비한다."
"슬랙스","여름을 맞아 기능성 소재로 만든 슬랙스를 출시했다."
"슬러거","통산 308호 홈런을 치며 지난 20년간 가장 강력한 슬러거임을 입증했다."
"슬럼가","슬럼가 및 공장 단지 등을 재정비하여 쾌적한 도시 환경을 만들었다."
"슬럼프","1:1로 학습 상담으로 수험생이 슬럼프를 겪지 않게 돕는다."
"슬로 모션","몇 초 안 되는 짧은 시간이었지만 슬로 모션처럼 느껴졌다."
"슬로 시티","세계 슬로 시티 전문가들과 ‘행복·녹색도시’ 에 관해 토론한다."
"슬로 패션","슬로 패션의 시작은 영국 디자이너 아냐 힌드마치가 선보인 ‘나는 비닐백이 아니랍니다’라는 가방이었다."
"슬로건","‘속도를 줄이면 사람이 보인다’가 안전속도 5030 정책의 슬로건이다."
"슬로에이징","특히 최근 2030세대를 중심으로 노화를 부정적으로 인식하는‘안티 에이징’이 아닌 긍정적으로 받아들이며 나이에 맞는 자연스러움을 추구하자는 ‘슬로 에이징’개념이 주목을 받으며 기능성 스킨케어시장의 흐름도 변화하고 있다."
"슬로푸드","전통 발효 식초는 시간과 정성으로 완성한 슬로푸드다."
"슬로프","스키장 슬로프에서는 골절 사고를 조심해야 한다."
"슬롯","항공사 운수권·슬롯 규정을 완화한다."
"슬리브","5부 길이의 슬리브로 부담스럽지 않은 길이다."
"슬리포노믹스","잘 자기 위한 투자, 슬리포노믹스가 뜬다."
"슬림핏","90년대 후반에 들어서면서 슬림핏 등 디자인을 살린 교복이 등장했다."
"슬림형","슬림형 스피커가 출시됐다."
"슬림화","문어발식 확장보다 조직 전반을 슬림화하고 단순화했다."
"슬립 다운","상대 선수의 저돌적인 공격에 두 차례나 슬립 다운됐다."
"슬립 테크","수면 환경을 개선해 주는 슬립 테크 제품들이 인기다."
"슬립폼","한화건설은 연속적 시공이 가능한 슬립폼 공법을 적용해 공사 기간을 단축했다."
"시그널","주춤했던 금리 인상 시그널이 환율 상승에 더욱 강해지는 모습이다."
"시그니처","한국 김장 문화의 시그니처 음식은 김치 보쌈이라고 할 수 있다."
"시그니처 아이템","시그니처 아이템을 특별 가격에 판매한다."
"시나리오","기준 금리, 예상 시나리오대로 인하됐다."
"시너지","호주의 수소 에너지 생산과 한국의 수소 경제를 결합해 시너지 효과를 낸다."
"시네마","1895년 뤼미에르 형제가 영화를 처음 상영하면서 시네마의 역사가 시작됐다."
"시네마 가든","황금연휴에 일시적으로 시네마 가든을 운영할 예정이다."
"시네마 세러피","청년들의 정신 건강을 위해 시네마 세러피를 권유한다."
"시노포비아","시노포비아는 버려야 할 고정관념이다."
"시놉시스","드라마 작가 과정에서 시놉시스 및 대본 작성 등 체계적인 교육이 진행된다."
"시니어","최근 부동산 중개사 자격증에 도전하는 시니어들이 늘고 있다."
"시드 머니","시드 머니는 투자를 위한 발판이 될 수 있다."
"시드 뱅크","안동시가 백두대간 수목원 시드 뱅크에 약용 식물 종자를 기증했다."
"시드 볼","ㅈ기업이 식목일 국내선을 탑승하는 고객에게 봉숭아꽃 시드 볼을 증정한다고 밝혔다."
"시리즈","환자 궁금증을 모아 경추 질환에 관한 책을 시리즈로 펴냈다."
"시머트리","시머트리가 잘 맞는 것이 디자인에서 중요하다."
"시뮬레이션","원전 사고 때 시민 대피 훈련을 위한 시뮬레이션을 구축했다."
"시뮬레이터","국립항공박물관에서 비행 시뮬레이터 체험 교실을 연다."
"시빌 파트너십","영국 대법원은 이성애자도 '시빌 파트너십'을 선택할 수 있다고 했다."
"시스루","올 여름도 어김없이 시스루가 유행이다."
"시스템 키친","시스템 키친 업체들의 매출이 늘었다."
"시스템 트레이딩","시스템 트레이딩 무료 교육을 개최한다."
"시즈닝","맛으로 멋으로 골라먹는 ‘시즈닝 견과’가 인기다."
"시즌","김장 시즌 맞춤형 상품으로 대목을 노린다"
"시즌 그리팅","별도 기준으로는 1분기 매출액 1,361억 원, 영업이익 201억 원을 기록하며 전년 동기 대비 각각 6.2%, 3.3% 증가했다. 당기순이익은 166억 원 수준이다. 대규모 콘서트 진행 및 전년 시즌 그리팅매출이 반영되며 엠디(MD) 및 라이선싱 부문 매출이 증가했다."
"시즌 오프","시즌 오프 상품보다 신상품을 먼저 사는 게 이득이다."
"시즌권","강원 지역 스키장이 시즌권을 출시하는 등 겨울 채비에 돌입했다."
"시큐리티","통신, 우주 항공, 생명 공학, 시큐리티 등이 미래 유망 산업이 될 것이다."
"시크릿 가든","마음을 편안하게 해주는 나만의 시크릿 가든을 만들어 보자."
"시터","쑥쑥 크는 아이 돌봄 시장에 시터가 되려는 사람들도 늘었다."
"시트","자동 변속·열선 시트 등 군용 트럭이 확 바뀐다."
"시티 라이프","자유분방한 시티 라이프에서 영감을 받은 신상품이 출시됐다."
"시티 룩","가을에 어울리는 시티 룩 화보가 공개됐다."
"시티 뷰","탁트인 '시티 뷰'가 인상적인 호텔 11곳을 소개한다."
"시티 투어","해남 여행, 시티 투어로 할 수 있다."
"시티 투어 버스","서울 시티 투어 버스 타고 '시간 여행' 떠난다."
"시티 팜","박 대표는 시티 팜을 통한 도시 발전을 꿈꾼다."
"시티즌십","타인을 배려하는 시티즌십을 갖추는 것이 중요하다."
"시푸드","부산을 시푸드 천국으로 만들 계획이다."
"식스 맨","얻은 게 많은 대회, 식스 맨이 풍부해졌다."
"신 파일러","신 파일러도 혜택받을 수 있는 맞춤형 금융 상품을 선보인다."
"신드롬","젊은 세대들에게 생활 한복 신드롬이 일고 있다."
"신스틸러","신스틸러들의 활약이 돋보이는 영화다."
"실러버스","미국 명문 대학에 편입학하려면 실러버스를 확실히 알아야 한다."
"실루엣","빛과 어둠 사이에서 실루엣이 선명히 드러났다."
"실링","최근 시황 부진에 대응해 실링을 낮춰 운임 하락을 방지하려고 노력하고 있다."
"실링재","감자 싹이 자라서 벽과 선반 틈새를 메우고 있는 실링재까지 뚫으며 성장하고 있었다."
"실버","인공 지능을 활용한 의료 기기 등 실버 제품들이 늘고 있다."
"실버 비즈니스","실버 비즈니스의 미래, 의료·보험·주거에 지갑 연다."
"실버 서퍼","유통 업계가 구매력이 강한 실버 서퍼 공략에 나섰다."
"실버 시터","실버 시터·운동 치료사 등이 10년 후 유망 직종이 될 전망이다."
"실버 존","실버 존을 몰랐다가는 과태료와 벌점 폭탄을 맞게 될 수도 있다."
"실버 카","ㅊ은행이 지역상생의 날을 맞아 시에 1600만원 상당의 실버 카 120대를 전달했다."
"실버 푸어","최근엔 노년층의 빚 부담이 급격히 늘어나면서 ‘실버 푸어’까지 등장했다."
"심 스와핑","심스와핑이란 타인의 심 정보를 도용하거나 재발급받아 휴대전화 인증 권한을 탈취하는 행위이다."
"심 클로닝","통신사의 고객 정보 유출로 인해 쌍둥이 유심을 만드는 '심 클로닝'에 대한 우려가 일고 있다."
"심벌","충남도서관이 사랑 품은 도서관의 심벌을 제작했다."
"심벌리즘","심벌리즘은 19세기 말 프랑스를 중심으로 일어난 문학 및 미술 운동이다."
"심벌마크","분리 배출 표시, 심벌마크 키워 배출 방법 쉽게 알 수 있게 바뀐다."
"심포니","‘금난새와 떠나는 베토벤 심포니 여행’이 진행된다."
"심포니 오케스트라","인공 지능 로봇이 지휘하는 심포니 오케스트라가 해외 공연을 마쳤다."
"심포지엄","‘한·중·일 농업 발전’ 학술 교류 심포지엄이 열렸다."
"심플","장욱진 화가의 그림은 꾸밈없는 나무처럼 심플하다."
"싱글","싱글 세대가 올해 처음 900만 명을 넘어섰다."
"싱글 라이프","싱글 라이프를 즐기려는 젊은 세대들이 늘고 있다."
"싱글 맘","싱글 맘과 미혼모를 위한 지원 사업이 진행된다."
"싱글 매치","이번 주말 열리는 싱글 매치, 양보는 없다!"
"싱글 윈도 시스템","관세청의 싱글 윈도 시스템으로 첫 해외 수출을 진행했다."
"싱어롱","관객 1,100만 넘긴 '겨울왕국 2'의 싱어롱 상영이 시작됐다."
"싱어송라이터","여름밤에 어울리는 음악을 선사할 싱어송라이터들이 총출동한다."
"싱크 탱크","국내 최초 통상전문 싱크 탱크 '통상지원센터' 본격 가동"
"싱크로율","원작 소설을 영화화할 때 사람들은 배우의 싱크로율에 큰 기대를 건다."
"싱크홀","아파트 단지 인근 도로에서 싱크홀이 발생하여 차량 통행을 통제했다."
"싱킹 현상","댐 상부가 무게를 이기지 못하고 주저앉는 '싱킹 현상'이 생겼다."
"아듀","아듀 2020년! 2021년에 바란다."
"아로마 다이어트","아로마 다이어트, 감기 예방 요법 등 8주에 걸쳐 교육을 실시한다."
"아로마 세러피","휴가철 피로, 아로마 세러피로 푸세요!"
"아르 누보","100년 전 약국이었던 이 건물 역시 아르 누보 양식의 건축물이다."
"아미 룩","이 바지는 멋스럽고 긴 기장의 아미 룩으로 다시 태어났다."
"아바타","아바타에 다양한 옷을 입혀볼 수 있다."
"아방가르드","아방가르드하고 독창적인 음악 세계가 눈길을 끌었다."
"아우라","그녀는 아우라가 느껴지는 우아한 미소를 지었다."
"아우터","겨울 아우터에는 ‘기능성 소재’를 주목해야 한다."
"아우트리거","공사 현장에서 아우트리거 설치로 생명을 지켰다."
"아웃 링크","ㄴ사가 언론사 누리집으로 이동해 뉴스를 읽어볼 수 있게 하는 '아웃 링크'를 시범 운영하려다가 잠정 연기했다."
"아웃 사이즈","ㄹ기업이 가을 산행을 책임질 아웃 사이즈 등산 의류를 출시했다."
"아웃 웨어","유아용 아웃 웨어를 고를 때에는 안전도 따져야 한다."
"아웃 포커스","이번 수업에서는 아웃 포커스를 이용해 인물 사진을 촬영해본다."
"아웃 포커싱","사진에 '감성'을 더하는 아웃 포커싱 활용법을 배워보자."
"아웃도어","등산 열풍에 아웃도어 전성기가 다시 온다."
"아웃라이어","지금까지와는 다른 긴 잠복기라는 아웃라이어의 가능성이 제기됐다."
"아웃렛","무더위를 피해 아웃렛을 찾는 고객들을 위한 할인 행사가 열린다."
"아웃리치","경주시는 검정고시 고사장을 찾아 응시 청소년을 위한 아웃리치를 진행했다."
"아웃바운드","아웃바운드 회복돼야 여행 업계도 회복된다."
"아웃사이더","2030세대 10명 중 6명은 자발적 아웃사이더인 것으로 드러났다."
"아웃소싱","한국 의약품 기술 수출하려면 임상 전문 아웃소싱을 강화해야 한다."
"아웃풋","사회적 기업은 유형의 아웃풋이 없더라도 무형의 결과에도 힘을 써야 한다."
"아이덴티티","나만의 아이덴티티를 가지는 것이 가장 중요하다."
"아이러니","코로나 아이러니, 수두·볼거리·백일해 등이 확 줄었다."
"아이보리","한껏 부푼 아이보리빛 억새가 가울 바람에 일렁인다."
"아이스","편의점 업계, 하절기 앞두고 아이스 음료를 강화한다."
"아이스 겔","아이스 겔은 제대로 버리는 게 중요하다."
"아이스 링크","아이스 링크에서 피서를 즐긴다."
"아이스 브레이킹","면접에도 아이스 브레이킹이 필요하다!"
"아이스 컵","폭염에 편의점 아이스 컵 매출이 계속해서 늘고 있다."
"아이콘","청년 창업가들이 도전의 아이콘으로 특강에 나섰다."
"아이템","청년들 창업 아이템이 건설 현장에 활용되도록 적극적으로 지원한다."
"아지트","재택 근무자들의 새로운 아지트가 될 것이다."
"아카이브","서울 주택·도시 계획 17만 건을 '디지털 아카이브'로 제공한다."
"아카이빙","갯벌 생태 아카이빙해서 사라져가는 우리 갯벌 살린다."
"아케이드","포항시 오천 삼광 시장 아케이드 공사가 마무리됐다."
"아쿠아","휴가지에선 아쿠아색 옷차림이 잘 어울린다."
"아쿠아리움","러시아 연해주 아쿠아리움에 거북선 모형이 전시됐다."
"아쿠아스케이프","아쿠아스케이프 작품을 보며 이른바 '물멍'을 즐긴다."
"아쿠아포닉스","아쿠아포닉스는 물고기 배설물을 농작물의 비료로 사용한다."
"아키비스트","제주특별자치도는 제주시민을 대상으로 아키비스트 기초 과정을 개설했다."
"아키텍처","전기차 아키텍처 분야에서 높은 기술력을 보유하고 있다."
"아킬레스건","코로나 장기화 속에서 음식, 숙박업이 경제의 아킬레스건으로 드러났다."
"아트","해외 언론에서도 아트 산업 분야를 연이어 보도했다."
"아트 드로잉","작가 68명이 참여하는 아트 드로잉이 기대된다."
"아트 마켓","가상 세계에서 열리는 아트 마켓은 시간적·물리적 제약이 없다."
"아트 워크","이번 아트 워크는 다양한 컬러와 형태의 물음표를 활용한 디자인이다."
"아트 월","최근 신축 아파트를 중심으로 아트 월 시공이 크게 늘고 있다."
"아트 위크","뉴욕에서 열리는 뉴욕 아트 위크 동안 신개념 병행 전시회를 개최한다."
"아트 캠프","예술재단은 이전 사업의 일환으로 아트 캠프를 실시한다."
"아트 클래스","방학을 맞아 아트 클래스 수강생을 모집한다."
"아트 테크","“아트 테크 열풍 동참”…"
"아트 페스티벌","예술과 최첨단 기술의 융합을 선보이는 아트 페스티벌이 열린다."
"아트 페어","수조 원 거래되는 세계 최대 아트 페어가 열렸다."
"아트 프린트","또한 시민이 간편하게 판화를 체험할 수 있는 체험관을 운영하고 아트 프린트 작품을 판매하는 공간을 조성했다."
"아트버스터","장면마다 명화 같은 영상미를 자랑하는 아트버스터가 탄생됐다."
"아트테리어","서울 은평구는 지역예술가와 협업해 소상공인 가게의 환경을 개선하는 ‘2024년 우리동네가게 아트테리어지원’ 참여 가게를 오는 14일까지 모집한다고 1일 밝혔다. 우리동네가게 아트테리어지원은 소상공인 가게와 지역예술가를 연결해 맞춤형으로 가게 내외부 등 디자인 개선을 지원하는 사업이다."
"아틀리에","아틀리에에는 예술가 개개인의 삶의 흔적이 고스란히 남아 있다."
"아티스트","150여 명의 아티스트들이 참여한 전시가 열린다."
"아티스틱 디렉터","새로운 아티스틱 디렉터 영입함으로써 분위기 쇄신을 꾀했다."
"악성 루머","가짜 뉴스 및 악성 루머에 단호히 대처할 예정이다."
"악센트","말할 때 악센트를 앞에 두면 상대방에게 호감을 줄 수 있다."
"안심 스크린","시민들이 공중화장실을 안심하고 이용할 수 있게 안심 스크린을 설치했다."
"안심 스테이션","윤 후보는 어린이 안심 스테이션을 설치하겠다는 공약을 밝혔다."
"안전커버","모든 제품의 단자 부위에 안전 커버를 장착시켜 작업 시 문제가 될 수 있는 사고 예방에 도움을 준다."
"안테나 숍","안테나 숍 6곳에서 추석맞이 특판 행사를 연다."
"안티","해외 곳곳에서 안티 마스크 운동이 진행되기도 했다."
"안티 드론","드론 납치하는 '안티 드론' 기술 나왔다."
"안티 폴루션","피부 속 미세 먼지를 지우는 안티 폴루션 화장품이 인기다."
"안티사이트","사실을 왜곡하고 과장하는 안티사이트를 폐쇄하기로 결정했다."
"안티에이징","피부 노화의 계절 가을, 안티에이징 기기가 인기를 끌고 있다."
"안티테제","우리 정치에서 진보와 보수는 서로에 대한 안티테제에 그칠 때가 많았다."
"알고리즘","알고리즘으로 이륜차 배달 사망 사고를 예방한다."
"알비노","설악산에서 ‘알비노’ 담비가 2년 만에 다시 포착됐다."
"알이백","많은 글로벌 기업이 '알이백'에 동참하면서 재생 에너지 사용이 늘고 있다."
"알티","최근 주류 시장에서는 어디서나 쉽게 마실 수 있는 '알티디' 열풍이 불고 있다."
"알티디","최근 주류 시장에서는 어디서나 쉽게 마실 수 있는 '알티디' 열풍이 불고 있다."
"암홀","입고 벗기 편하도록 목과 암홀 부분은 신축성이 좋아야 한다."
"앙상블","주인공과 앙상블만으로 꽉 채운 무대가 막을 내렸다."
"앙케트","인구 감소에 따른 인구 정책 수립을 위한 앙케트를 실시했다."
"앙코르 송","감격의 앙코르 송 무대가 시작됐다."
"애그테크","애그테크 시장에서 환경적 위기에 대응하기 위한 다양한 기술 및 제품들이 개발, 출시되고 있다."
"애널리스트","애널리스트가 알려주는 내 집 마련 정보를 들을 수 있다."
"애니멀 세러피","나도 모르게 웃음이 새 나왔다면, 애니멀 세러피를 경험한 것이다."
"애니멀 호더","애니멀 호더, 동물보호법으로 처벌 가능해진다."
"애니메이터","디즈니 박차고 나온 한국 애니메이터, 국내파와 손잡다."
"애드리브","희극은 애드리브도 많아야 하고 유쾌한 호흡을 끌어내야 하는 점이 어렵다."
"애드벌룬","시민들의 소원 적힌 애드벌룬이 높이 떠올랐다."
"애버리지","그는 이번 대회 가장 높은 애버리지 점수를 기록한 선수다."
"애슬레저","식지 않는 '애슬레저' 열풍으로 패션 업계들이 몰리고 있다."
"애시 그레이","새까만 머리가 애시 그레이가 될 정도로 흙먼지를 뒤집어 썼다."
"애시 블루","파격적인 ‘애시 블루’ 빛 머리로 변신했다."
"애자일 조직","실제로 애자일 조직을 정착시켜 나가고 있는 기업은 소수에 불과하다."
"애프터 마켓","자동차 산업에서는 차량 생산만이 아니라 각종 애프터 마켓이 형성된다."
"애프터서비스","청각 장애인들은 애프터서비스 센터에서 수어 통역 서비스를 받지 못한다."
"애플리케이션 프로그램","어른신들에게 배달 애플리케이션 프로그램 설치와 사용법을 알려준다."
"애플리케이션 프로세서","스마트폰 성능은 애플리케이션 프로세서 속도에 따라 달라진다."
"액세스","안전한 액세스를 더 쉽게 제공할 수 있게 해주는 기술을 개발한다."
"액셀러레이터","농식품 벤처 대상 액셀러레이터에서 자금 지원을 추진한다."
"액셀러레이팅","관광 두레 주민 사업체 액셀러레이팅 행사를 성황리에 마무리했다."
"액션 그룹","군은 액션 그룹 연결망 잔치를 개최했다고 밝혔다."
"액션 드라마","첩보 액션 드라마 촬영 현장답게 긴장감이 넘쳤다."
"액션 미팅","건설적이고 실효성 있는 방안을 논의하는 액션 미팅이 열렸다."
"액션 페인팅","영웅들을 액션 페인팅으로 만날 수 있는 전시가 열린다."
"액션 플랜","4차 혁명 경제 효과 630조, 산업별 '액션 플랜'을 만든다."
"액자 프레임","액자 프레임 안에 있던 그림이 눈앞에서 생생히 움직이는 모습을 볼 수 있다."
"액티브 시니어","디지털 환경에 익숙한 액티브 시니어가 새로운 소비의 주역으로 떠올랐다."
"액티브 에이징","액티브 에이징의 핵심은 공동체 형성에 있다."
"액티비티","올 여름 2030이 함께 즐기는 액티비티로 수상 레저가 인기다."
"앤티크","앤티크한 찻잔, 꽃무늬 양은 쟁반 등 복고 감성 가득한 카페가 인기다."
"앰부시 마케팅","월드컵 비후원사들의 앰부시 마케팅이 치열하다."
"앰비슈머","나를 위해 투자하는 앰비슈머가 대세로 떠올랐다."
"앰프","농촌의 폭염 피해 예방을 위해 마을 앰프 방송, 전광판 안내 등을 실시한다."
"앵글","앵글에 따라 같은 장소도 다르게 나온다."
"앵커","배를 정박할 때는 바다 밑으로 앵커를 내려 단단히 고정해야 한다."
"앵커","앵커 작업은 도로터널 천장면에 정착 작업이 요구되는 만큼 안전사고 부담이 높은 건설 작업군에 속한다."
"앵커 기업","앵커 기업을 중심으로 로봇 기업 협력 생태계를 강화할 계획이다."
"앵커 숍","베트남 수도 하노이에 한국 수산 식품 전문 앵커 숍을 열었다."
"앵커 시설","앵커 시설과 지하 주차장 건립으로 도시 재생에 나선다."
"앵커 테넌트","‘앵커 테넌트’ 입점이 상가 분양의 성패를 가른다."
"어게인","""어게인 1988"" 서울, 2032년 하계올림픽 도전한다."
"어그로","대다수 온라인 커뮤니티에서는 언제나 논쟁이 활발합니다. 건설적인 토론도 적지 않지만, 분탕질을 목적으로 엉터리 글을 올리고 사람들의 욕설과 악플을 즐기는 악취미를 지닌 이들도 종종 보이죠. 이런 사람들을 가리켜 “어그로를 끈다.”라는 표현을 씁니다."
"어닝","3분기 어닝 마무리, 업황 개선으로 고성장이 기대되는 종목을 알아본다."
"어닝 미스","자동차, 소프트웨어, 반도체 등을 제외한 전 업종이 어닝 미스를 기록했다."
"어닝 쇼크","ㄱ기업이 올해 1분기 어닝 쇼크 수준의 성적표를 받았다."
"어닝 시즌","본격적인 '어닝 시즌' 시작으로, 전자·부품 업계의 실적에 관심이 쏠린다."
"어닝스 서프라이즈","코로나로 ‘<<어닝 서프라이즈>>’ 기대되는 3가지 종목은?"
"어덜트","2050 '어덜트' 여성층을 사로잡는 제품 개발에 나선다."
"어드바이스","출국부터 귀국까지 안전한 신혼여행을 위한 어드바이스를 제공한다."
"어드바이저","자산 관리를 어드바이저와 함께한다."
"어메니티","그러나 이번 법안 통과로 내년부터는 호텔의 무료 어메니티 제공이 제한될 전망이다."
"어반 라이프","어반 라이프의 감성을 담았다."
"어반 아트리움","세종시 어반 아트리움의 대형 조형물이 눈길을 끌었다."
"어뷰징","실검 어뷰징 문제, 언론 노동자가 나서야 한다."
"어시스턴트","어시스턴트 작가 착취는 관행이 아니다."
"어워드","그래미 어워드, 내달 25일에 후보 발표한다."
"어젠다","경제·산업 개편을 강조한 10대 정책 어젠다가 발표됐다."
"어질리티","유기견과 보호자가 함께하는 어질리티, 경기도 중급반 참가자 모집"
"어트랙션","눈꽃 축제 현장에는 얼음 분수 등 어트랙션이 다양하다."
"어패럴","올해 어패럴 부문 매출은 10% 정도 감소한 것으로 나타났다."
"어패럴 메이커","어패럴 메이커들에게 앞으로의 유행 방향을 제시해준다."
"어필","감독과 선수들이 심판 판정에 강하게 어필했다."
"언더그라운드","서울의 언더그라운드는 지상과는 다르게 시간이 흘러간다."
"언더독","언더독의 반란을 기대한다."
"언더라이팅","보험 언더라이팅도 인공 지능이 하는 시대가 왔다."
"언더라인","중요한 부분에 밑줄을 치는 책 언더라인법 공부가 유행했다."
"언더스터디","뮤지컬 언더스터디에서 주연으로 인생역전을 하게 되었다."
"언더웨어","중국 여성 언더웨어 시장에 새 바람이 분다."
"언더패스","연이은 폭우로 언더패스에 흙탕물이 쌓였다."
"언로더","화물 '언로더 로봇'이 개발됐다."
"언론 플레이","득보려 했던 언론 플레이가 오히려 독이 됐다."
"언박싱","이제 소비자들은 사고 싶은 물건이 있으면 언박싱 영상을 찾아본다."
"언밸런스","언밸런스 극복을 위해서는 노동자들이 기업 경영 통제권을 가져야 한다."
"언택트","중고차도 당일 배송, 언택트 시대 배송 전쟁 격화됐다."
"언터처블","'언터처블' 공격력을 다시 볼 수 있어 더 반갑다!"
"얼라이언스","민관 얼라이언스 구축해 수소 차와 충전소 늘린다."
"얼라이언스 테스트",""
"얼리 버드","영어 회화 전 강좌에 최대 82% 얼리 버드 할인 혜택이 주어진다."
"얼리 어답터","대구 수소 차 주고객은 '4050 얼리 어답터'인 것으로 나타났다."
"얼리버드","추석을 앞두고 얼리버드를 겨냥해 사전예약 혜택을 대폭 늘린 추석 선물이 출시됐다."
"얼터너티브","얼터너티브 상품은 꾸준히 판매가 늘어났다."
"엄파이어","관중석을 향해 공을 던져 엄파이어로부터 경고를 받기도 했다."
"업 스타일","여름엔 업 스타일이 잘 어울린다."
"업그레이드","청년들의 자신감과 취업 역량을 업그레이드할 수 있게 지원한다."
"업데이트","안정적인 운영으로 업데이트에 지연 없도록 하겠다."
"업라이트","시는 지난 6월부터 업라이트 조명과 이동 불빛 조명 등의 설치 작업을 시작했다."
"업로드","시민 누구나 사진을 업로드할 수 있는 온라인 '시민 사진관'이 열렸다."
"업로딩","미래에는 뇌를 컴퓨터에 ‘업로딩’ 할 수 있게 될 것이다."
"업사이클","업사이클을 정착시켜 자원 순환 경제로 전환될 수 있게 해야 한다."
"업사이클링","페트병, 옷, 가방 등 업사이클링을 위해서는 철저한 분리 배출이 첫 걸음이다."
"업셀링","보험업계 한 관계자는 ""보험료가 저렴하고 인기가 많은 보험상품은 대부분 업셀링이나 리모델링으로 추가 계약을 확보하려고 만든 상품이라고 봐야 한다""라고 말했다."
"업스케일링","인공 지능 업스케일링은 이 제품의 독창적인 부분이다."
"업스킬링","지난 4월에는 8급 공무원 대상 공문서, 보고서 작성 실무, 협력적 관계 형성 교육 등으로 구성한 ‘직무역량 업스킬링교육프로그램’을 실시하여 참여 직원들의 큰 호응을 얻었다."
"업스트림","수소 공급을 담당하는 업스트림에서도 투자를 늘려야 한다."
"에너지 드링크","에너지 드링크, 40대 이상 중장년층에서 시장이 확대되는 추세다."
